"","firstName","gender","age","height","weight","bmi","overWt"
"1","Tom","m",77,70,175,25.1623879871136,TRUE
"2","May","f",33,64,125,21.5010639538325,FALSE
"3","Joe","m",79,73,185,24.4588421417243,FALSE
"4","Bob","m",47,67,156,24.484141396238,FALSE
"5","Sue","f",27,64,105,18.0608937212193,FALSE
"6","Liz","f",33,68,190,28.9498062481498,TRUE
"7","Jon","m",67,68,185,28.1879692416195,TRUE
"8","Sal","f",52,65,124,20.677825110357,FALSE
"9","Tim","m",59,68,175,26.664295228559,TRUE
"10","Tom","m",27,71,215,30.0491124146844,TRUE
"11","Ann","f",55,67,166,26.0536376395866,TRUE
"12","Dan","m",24,66,140,22.6438385926275,FALSE
"13","Art","m",46,66,150,24.2612556349581,FALSE
"14","Zoe","f",48,62,125,22.9106030059567,FALSE
